#1
double Intgainconv_Intgainrad_COPMin(8760, 4)
#time_in_s	c_o_n_v	r_a_d	C_O_P_M_i_n
907200	171.071146875	102.642688125	0
910800	79.24807312500002	47.548843875	0
914400	87.86768375000001	52.72061025	0
918000	73.97431375000001	44.38458825	0
921600	242.70997624999998	145.62598574999998	0
925200	341.26074	204.756444	0
928800	319.88420625000003	191.93052375	0
932400	534.189598125	320.513758875	0
936000	882.342318125	529.405390875	0
939600	301.45443375	180.87266025000002	0
943200	214.5186825	128.71120949999997	0
946800	172.43338125000002	103.46002875	0
950400	38.07246812499999	22.843480874999997	0
954000	39.945378749999996	23.96722725	0
957600	75.86317187499999	45.517903125000004	0
961200	78.304920625	46.982952374999996	0
964800	60.775783125	36.465469875000004	0
968400	38.39826625	23.038959749999997	0
972000	748.93965	449.36379000000005	0
975600	198.58376124999998	119.15025675	0
979200	485.339795	291.203877	0
982800	438.17777125000003	262.90666274999995	0
986400	417.86024749999996	250.7161485	0
990000	1221.08094	732.648564	0
993600	174.38396187499998	104.63037712500001	0
997200	952.373436875	571.424062125	0
1000800	1357.8961475	814.7376885000001	0
1004400	1039.0308875	623.4185325	0
1008000	207.03527562500003	124.221165375	0
1011600	245.27144937499997	147.16286962499998	0
1015200	426.376570625	255.825942375	0
1018800	982.3466475	589.4079885000001	0
1022400	444.708435	266.825061	0
1026000	126.42129062500001	75.852774375	0
1029600	83.87906000000001	50.327436000000006	0
1033200	57.90947125	34.74568275	0
1036800	38.658235625	23.194941375	0
1040400	78.999919375	47.399951625	0
1044000	39.8649475	23.9189685	0
1047600	81.30390437499999	48.782342625	0
1051200	49.0048225	29.402893499999998	0
1054800	52.36798687499999	31.420792125	0
1058400	836.9053937499999	502.14323625000003	0
1062000	339.30660624999996	203.58396374999998	0
1065600	699.2010618749999	419.520637125	0
1069200	731.81372125	439.08823275000003	0
1072800	844.8073768749999	506.88442612500006	0
1076400	1267.4557518749998	760.473451125	0
1080000	67.004483125	40.202689875000004	0
1083600	1427.0975168749999	856.2585101249999	0
1087200	1426.144215	855.686529	0
1090800	89.378284375	53.626970625	0
1094400	234.14922	140.489532	0
1098000	295.27998499999995	177.167991	0
1101600	379.50453937500004	227.70272362500003	0
1105200	710.65941625	426.39564975	0
1108800	412.11135062500006	247.266810375	0
1112400	440.947081875	264.56824912499997	0
1116000	124.84183750000001	74.9051025	0
1119600	37.98792125	22.79275275	0
1123200	73.40687312499999	44.044123875000004	0
1126800	94.366136875	56.619682125000004	0
1130400	55.26057312499999	33.156343875	0
1134000	40.169598125	24.101758875	0
1137600	38.491039375	23.094623624999997	0
1141200	38.163658749999996	22.89819525	0
1144800	588.332021875	352.99921312500004	0
1148400	625.350403125	375.21024187499995	0
1152000	618.6171768749999	371.170306125	0
1155600	879.793135	527.875881	0
1159200	785.462599375	471.277559625	0
1162800	143.80975500000002	86.28585299999999	0
1166400	549.946898125	329.96813887499997	0
1170000	582.4715075	349.48290449999996	0
1173600	76.3224275	45.7934565	0
1177200	104.50809875	62.70485924999999	0
1180800	306.16007125	183.69604275	0
1184400	354.06255062500003	212.43753037500002	0
1188000	580.7758725	348.46552349999996	0
1191600	704.576340625	422.745804375	0
1195200	223.881755	134.32905300000002	0
1198800	236.923439375	142.154063625	0
1202400	312.7498212500001	187.64989275000002	0
1206000	84.22080249999999	50.5324815	0
1209600	38.010859374999995	22.806515625	0
1213200	37.962063750000006	22.77723825	0
1216800	68.394254375	41.036552625	0
