time,livingroom__win_net_W,hobby__win_net_W,corridor__win_net_W,wcstorage__win_net_W,kitchen__win_net_W,bedroom__win_net_W,children__win_net_W,corridor2__win_net_W,bath__win_net_W,children2__win_net_W,attic__win_net_W
97200.0,-108.62164691343098,-54.24550959075237,0.0,-26.923824173061753,-81.38864510256309,-81.98964441722917,-54.51481679950377,-27.52691469717287,-27.32569830011888,-54.62670097782563,0.0
100800.0,-107.03048044691246,-53.43278025911909,0.0,-26.519926094576864,-80.21585456521754,-80.78710381212139,-53.695105297873916,-27.116991975116846,-26.931269401890095,-53.836266081407345,0.0
104400.0,-104.58297855566123,-52.18393775121466,0.0,-25.887087746045594,-78.36875418922577,-78.981751815128,-52.468101181944114,-26.496517449895638,-26.31276872936236,-52.61881610336217,0.0
108000.0,-103.87906550072194,-51.83917249490819,0.0,-25.698759694664997,-77.79569718019438,-78.46618449040548,-52.126931140137394,-26.31281302084775,-26.11047366889606,-52.23733661582912,0.0
111600.0,-102.52424640088634,-50.811217474110144,0.0,-25.00635756844069,-76.452487079404,-77.46469047769575,-51.13322079512317,-25.646213785436384,-25.464510079026876,-51.25662112765705,0.0
115200.0,-98.42747458266115,-48.74252032459029,0.0,-23.958438262498625,-73.22996615078688,-74.38491165352254,-49.10945080010954,-24.63262281597391,-24.313057085040967,-49.07615578337192,0.0
118800.0,-95.46857008881102,-47.461803196418195,0.0,-23.418734856951367,-71.11073949176874,-72.12002460922966,-47.83593623279049,-24.1006599827681,-23.67419263823759,-47.68035431724253,0.0
122400.0,-94.02817101712313,-46.845911648541055,0.0,-23.166320638505994,-70.1551776839904,-70.96648033006967,-47.186571309586164,-23.82484252578419,-23.413233250943723,-47.034505036497706,0.0
126000.0,-94.96098340909123,-47.302065061829246,0.0,-23.45788061466291,-71.23897000215271,-71.63159879687794,-47.63749797976727,-24.087478734646602,-23.930368854051046,-47.79202839723253,0.0
129600.0,-99.31569514297841,-49.517487603516415,0.0,-24.586241635368836,-74.53826368210255,-74.92790484917418,-49.853742837878244,-25.2127878622154,-25.052949879055742,-50.014166998855266,0.0
133200.0,-103.50566090240073,-51.68892999861381,0.0,-25.691896094400047,-77.68875882174258,-78.16723353189651,-52.075170012357475,-26.342573762862393,-26.134275567057237,-52.162403898421815,0.0
136800.0,-106.21223124222226,-53.14024634192511,0.0,-26.429094850571722,-79.70183621532165,-80.28101254917446,-53.566515896356684,-27.113592096485014,-26.8553911750262,-53.57272589672003,0.0
140400.0,-108.37819208215247,-54.31325280119956,0.0,-27.03193455720891,-81.33374334037718,-81.92927817105293,-54.73500214809696,-27.73546143167509,-27.465923329247,-54.727195466348725,0.0
144000.0,-110.08502252480744,-55.19636737574402,0.0,-27.456968248654466,-82.55042489690436,-83.27214910309765,-55.65995306826215,-28.16319982344113,-27.805035020773254,-55.48599983351302,0.0
147600.0,-112.52189005397943,-56.451952066174336,0.0,-28.084920704617637,-84.36931709841787,-85.13332045729196,-56.929683774439304,-28.803597992974915,-28.428638276738646,-56.72129284851251,0.0
151200.0,-115.3530660035122,-57.833208904061706,0.0,-28.82755340430906,-86.66199650335948,-87.19768001857871,-58.2620578793618,-29.56310562167174,-29.345304314888143,-58.37896534098397,0.0
154800.0,-117.89577886347605,-59.09929483361259,0.0,-29.455054497129346,-88.56045526265365,-89.13770007537515,-59.548895083888105,-30.20573586130847,-29.988001643545967,-59.666808790471805,0.0
158400.0,-120.29403758010241,-60.324559108971336,0.0,-30.064337505664994,-90.34324067037171,-90.99406187370309,-60.81430999072269,-30.835467056673842,-30.58412882963403,-60.86993490042791,0.0
162000.0,-123.16500246379236,-61.87045770435986,0.0,-30.791609517977232,-92.31534125144618,-93.29394658170008,-62.45904017251129,-31.585807138474944,-31.130957332173587,-62.115951262995004,0.0
