#1
double ElectricityGains(35040, 2)
#time_in_s	electricity in W_
0.0	624.9443415517542
900.0	90.2181614275891
1800.0	56.8997595054345
2700.0	233.5261225301296
3600.0	56.8997595054345
4500.0	675.7943724877246
5400.0	255.10464548555052
6300.0	56.8997595054345
7200.0	56.8997595054345
8100.0	345.8650243624702
9000.0	751.019610394279
9900.0	56.8997595054345
10800.0	56.8997595054345
11700.0	357.6965730499614
12600.0	68.0583083327779
13500.0	88.4113656082619
14400.0	108.54711515271589
15300.0	56.8997595054345
16200.0	56.8997595054345
17100.0	204.3855434406707
18000.0	1062.2081459017625
18900.0	385.4228751298199
19800.0	56.8997595054345
20700.0	561.4169359299668
21600.0	589.5150884880001
22500.0	690.1968768539324
23400.0	56.8997595054345
24300.0	56.8997595054345
25200.0	283.1140250163982
26100.0	56.8997595054345
27000.0	56.8997595054345
27900.0	56.8997595054345
28800.0	592.469249630514
29700.0	56.8997595054345
30600.0	137.29263308619142
31500.0	651.7088811233999
32400.0	232.3576127207248
33300.0	465.5432239579204
34200.0	56.8997595054345
35100.0	558.5667817130605
36000.0	56.8997595054345
36900.0	791.8276918966247
37800.0	307.1292155863082
38700.0	642.0251934803317
39600.0	645.6125947033984
40500.0	56.8997595054345
41400.0	56.8997595054345
42300.0	286.42054522513286
43200.0	56.8997595054345
44100.0	56.8997595054345
45000.0	363.1067011727639
45900.0	56.8997595054345
46800.0	152.9802096493287
47700.0	887.0840571984287
48600.0	314.84838239433424
49500.0	56.8997595054345
50400.0	504.2734634602094
51300.0	56.8997595054345
52200.0	887.3290692968844
53100.0	56.8997595054345
54000.0	927.6854676421761
54900.0	302.22072498165556
55800.0	108.9838427637117
56700.0	56.8997595054345
57600.0	191.2294161604737
58500.0	557.4996360542643
59400.0	56.8997595054345
60300.0	56.8997595054345
61200.0	104.4024420123909
62100.0	992.7297305193246
63000.0	609.369126884314
63900.0	708.4597519311367
64800.0	698.8589646024777
65700.0	56.8997595054345
66600.0	565.88121853402
67500.0	56.8997595054345
68400.0	237.9899985291592
69300.0	617.2867734419302
70200.0	431.1078794833727
71100.0	56.8997595054345
72000.0	609.8626020792904
72900.0	56.8997595054345
73800.0	1141.0865671316083
74700.0	56.8997595054345
75600.0	349.6155184783948
76500.0	56.8997595054345
77400.0	56.8997595054345
78300.0	56.8997595054345
79200.0	65.3663735990489
80100.0	56.8997595054345
81000.0	833.7631285394813
81900.0	602.4472098424237
82800.0	56.8997595054345
83700.0	56.8997595054345
84600.0	56.8997595054345
85500.0	948.4661623998044
86400.0	481.90706504068646
87300.0	491.82212468614614
88200.0	56.8997595054345
89100.0	124.6922940583873
90000.0	56.8997595054345
90900.0	234.4272108184163
91800.0	56.8997595054345
92700.0	216.33306968281929
93600.0	152.6701291170589
94500.0	56.8997595054345
95400.0	56.8997595054345
96300.0	56.8997595054345
97200.0	56.8997595054345
98100.0	82.2525143036751
99000.0	56.8997595054345
99900.0	102.3253678420526
100800.0	56.8997595054345
101700.0	924.2874946812763
102600.0	442.63885376439123
103500.0	237.7205880608921
104400.0	56.8997595054345
105300.0	402.2747531251872
106200.0	407.21876894635153
107100.0	518.4144695262003
108000.0	669.2053709981136
108900.0	679.7656306458138
109800.0	577.2481020687918
110700.0	189.3283342345136
111600.0	70.5191200367895
112500.0	56.8997595054345
113400.0	56.8997595054345
114300.0	375.61298570657493
115200.0	91.3132428056639
116100.0	296.9456687008791
117000.0	692.9052465152188
117900.0	56.8997595054345
118800.0	775.9538886159631
119700.0	764.4364126768913
120600.0	56.8997595054345
121500.0	202.4656523832669
122400.0	1002.704398463595
123300.0	369.2610565378517
124200.0	56.8997595054345
125100.0	56.8997595054345
126000.0	427.7846714247245
126900.0	1388.6458166350073
127800.0	56.8997595054345
128700.0	56.8997595054345
129600.0	2064.5375155625816
130500.0	266.3493840631705
131400.0	458.84994460520215
132300.0	56.8997595054345
133200.0	143.984762776996
134100.0	194.75907253577452
135000.0	56.8997595054345
135900.0	675.277164200285
136800.0	553.9681765201512
137700.0	772.6605098266097
138600.0	339.0470340642498
139500.0	820.4257339538744
140400.0	112.1271290127312
141300.0	56.8997595054345
142200.0	86.9542255105127
143100.0	1042.490630186568
144000.0	517.7715667059587
144900.0	56.8997595054345
145800.0	903.751748794313
146700.0	815.2855602571024
147600.0	56.8997595054345
148500.0	56.8997595054345
149400.0	588.3815169864945
150300.0	680.3479437786024
151200.0	698.5321922639062
152100.0	253.411069978847
153000.0	56.8997595054345
153900.0	56.8997595054345
154800.0	798.829794214002
155700.0	56.8997595054345
156600.0	56.8997595054345
157500.0	56.8997595054345
158400.0	56.8997595054345
159300.0	609.9973667436844
160200.0	56.8997595054345
161100.0	416.76547327078475
162000.0	462.1303556152248
162900.0	251.9511288999439
163800.0	425.29998652123055
164700.0	213.9761765993653
165600.0	647.0752385055723
166500.0	56.8997595054345
167400.0	101.5603532858234
168300.0	56.8997595054345
169200.0	98.52705753806181
170100.0	56.8997595054345
171000.0	56.8997595054345
171900.0	56.8997595054345
172800.0	56.8997595054345
173700.0	56.8997595054345
174600.0	223.5096837727327
175500.0	436.54435658853544
176400.0	56.8997595054345
177300.0	124.6619097762027
178200.0	294.4117351871587
179100.0	301.9537808553278
180000.0	56.8997595054345
180900.0	500.67747023037714
181800.0	272.10879838418003
182700.0	301.2261920607179
183600.0	56.8997595054345
184500.0	112.0048467902674
185400.0	258.1201684718221
186300.0	56.8997595054345
187200.0	331.9869915680912
188100.0	602.87881828177
189000.0	109.7370519210522
189900.0	904.9408450565618
190800.0	56.8997595054345
191700.0	56.8997595054345
192600.0	178.9870379681164
193500.0	56.8997595054345
194400.0	56.8997595054345
195300.0	56.8997595054345
196200.0	998.7508233167435
197100.0	56.8997595054345
198000.0	255.5904575306125
198900.0	119.66106619308
199800.0	266.854861031883
200700.0	227.7825609422222
201600.0	382.9674836897488
202500.0	453.0587019802236
203400.0	56.8997595054345
204300.0	481.64814514805596
205200.0	56.8997595054345
206100.0	446.8238735527081
207000.0	56.8997595054345
207900.0	145.17816666308082
208800.0	56.8997595054345
209700.0	56.8997595054345
210600.0	56.8997595054345
211500.0	386.8221522381131
212400.0	215.6293506264223
213300.0	263.4816897229827
