second_of_week,bedroom,livingroom,kitchen,hobby,wcstorage,corridor,children,corridor2,bath,children2
500400,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,296.15,293.65
504000,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,296.15,293.65
507600,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
509400,292.65,294.65,292.15,292.65,290.15,291.65,292.15,291.65,293.15,292.15
511200,292.65,294.65,292.15,290.65,290.15,291.65,292.15,291.65,293.15,292.15
514800,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
547200,292.65,291.65,293.65,290.65,290.15,291.65,292.15,291.65,296.15,292.15
550800,292.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,296.15,293.65
552600,292.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,296.15,293.65
554400,291.65,294.65,292.15,290.65,290.15,291.65,293.65,291.65,293.15,293.65
561600,291.65,294.65,293.65,290.65,290.15,291.65,293.65,291.65,293.15,293.65
568800,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
583200,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,293.15,293.65
586800,291.65,294.65,293.65,292.65,290.15,291.65,293.65,291.65,296.15,293.65
590400,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,296.15,293.65
594000,291.65,294.65,292.15,292.65,290.15,291.65,293.65,291.65,293.15,293.65
595800,292.65,294.65,292.15,292.65,290.15,291.65,292.15,291.65,293.15,292.15
597600,292.65,294.65,292.15,290.65,290.15,291.65,292.15,291.65,293.15,292.15
601200,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
