causality,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.
name,T_wall_out,T_0_out,T_CCA_out,T_CCA_0,T_air,T_wall,T_v,T_ahu,mDot,mDot_ahu,d,T_amb,Q_rad,T_set,T_upper,T_lower,cp,c_BKA,cw,cl,hw,hBKA,hFenster,Aw,ABKA,AFenster,mRoom,q_T,s_T
type,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
0,290.15,299.15,299.15,295.15,296.0,294.16,294.15,295.0,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
60,294.1601308500253,295.9318061280634,295.1489205293397,295.1489205293396,295.9318061280634,294.1601308500253,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
120,294.1602599805414,295.82654025780784,295.14488351078086,295.14488351078086,295.82654025780784,294.16025998054147,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
180,294.1603871444231,295.73235856211375,295.1408287176397,295.14082871763964,295.73235856211375,294.16038714442317,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
240,294.1605125479612,295.64806090478015,295.1367586883341,295.1367586883341,295.64806090478015,294.1605125479613,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
300,294.16063637511195,295.57257713982347,295.1326756855133,295.1326756855133,295.57257713982347,294.16063637511195,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
360,294.160758789914,295.5049530317989,295.12858172592445,295.12858172592445,295.5049530317989,294.160758789914,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
420,294.1608799386494,295.444337701143,295.1244786070518,295.12447860705186,295.44433770114307,294.1608799386494,291.84541782745623,293.1265336262668,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
