causality,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.
name,T_wall_out,T_0_out,T_CCA_out,T_CCA_0,T_air,T_wall,T_v,T_ahu,mDot,mDot_ahu,d,T_amb,Q_rad,T_set,T_upper,T_lower,cp,c_BKA,cw,cl,hw,hBKA,hFenster,Aw,ABKA,AFenster,mRoom,q_T,s_T
type,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1200,294.1619950023676,294.561819781147,294.09605683370984,294.09605683370984,294.561819781147,294.1619950023676,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1260,294.16209819311894,294.5671712450692,294.0932996647308,294.0932996647308,294.5671712450691,294.16209819311894,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1320,294.1622014773119,294.5717384988235,294.0905478598329,294.09054785983284,294.5717384988234,294.1622014773119,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1380,294.1623048403563,294.5756067587655,294.0878012332377,294.08780123323777,294.5756067587655,294.16230484035634,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1440,294.16240826926037,294.5788518854559,294.0850596198568,294.0850596198568,294.57885188545583,294.16240826926037,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1500,294.16251175243985,294.5815415186653,294.0823228723776,294.08232287237763,294.58154151866523,294.1625117524398,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1560,294.1626152795057,294.58373673501205,294.0795908514296,294.0795908514296,294.58373673501205,294.16261527950576,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1620,294.16271884129486,294.58549098083944,294.07686344149704,294.076863441497,294.58549098083944,294.1627188412949,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1680,294.1628224296141,294.58685213513166,294.07414053770646,294.07414053770646,294.58685213513166,294.1628224296141,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1740,294.16292603715,294.5878629846754,294.071422045489,294.07142204548893,294.5878629846753,294.16292603715,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1800,294.16302965737304,294.58856202191436,294.0687078752549,294.06870787525486,294.58856202191436,294.16302965737304,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1860,294.1631332844835,294.58898347595783,294.0659979466475,294.0659979466474,294.5889834759578,294.1631332844835,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1920,294.1628662491329,294.4433234396995,294.06165404593156,294.06165404593156,294.44332343969944,294.1628662491329,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1980,294.16259651095504,294.31309262734516,294.05728367933494,294.05728367933494,294.31309262734516,294.16259651095504,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2040,294.1623243571046,294.1966203150917,294.05289038294626,294.05289038294626,294.1966203150917,294.1623243571046,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2100,294.1620500436441,294.09241674022604,294.04847730894414,294.04847730894414,294.09241674022604,294.1620500436441,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2160,294.16177379891025,293.999153500627,294.0440472671843,294.04404726718434,293.9991535006271,294.1617737989102,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2220,294.16149582651826,293.9156460772533,294.0396027622758,294.03960276227576,293.9156460772533,294.16149582651826,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2280,294.16121630803787,293.84083824968263,294.03514602664893,294.03514602664893,293.84083824968263,294.16121630803787,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2340,294.1609354053809,293.7737881996595,294.03067905003314,294.03067905003314,293.7737881996596,294.16093540538077,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2400,294.16065326293176,293.7136561198104,294.0262036057489,294.02620360574883,293.7136561198104,294.1606532629318,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2460,294.1603700094466,293.6596931645032,294.02172127414633,294.02172127414633,293.65969316450327,294.1603700094466,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2520,294.16008575974325,293.6112315974746,294.01723346351,294.01723346350997,293.6112315974746,294.1600857597432,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2580,294.159800616214,293.56767600660163,294.01274142869545,294.01274142869545,293.56767600660163,294.159800616214,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2640,294.15951467016873,293.5284954702327,294.00824628774876,294.00824628774876,293.52849547023277,294.15951467016873,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2700,294.1592280030376,293.493216572007,294.0037490367266,294.0037490367267,293.49321657200704,294.1592280030375,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2760,294.15894068743864,293.4614171722649,293.99925056291266,293.9992505629126,293.4614171722649,294.1589406874387,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2820,294.1586527881355,293.43272085409467,293.9947516565953,293.9947516565954,293.43272085409467,294.1586527881355,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2880,294.15836436288447,293.4067919709497,293.99025302158026,293.99025302158026,293.40679197094966,294.1583643628844,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2940,294.1580754631967,293.3833312306745,293.98575528455405,293.985755284554,293.38333123067446,294.1580754631967,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3000,294.1577861350127,293.36207175783557,293.9812590034428,293.98125900344274,293.3620717578355,294.1577861350127,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3060,294.1574964193066,293.3427755825633,293.97676467485763,293.97676467485763,293.3427755825633,294.1574964193066,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3120,294.1572063526231,293.3252305096893,293.97227274073987,293.97227274073987,293.32523050968933,294.1572063526231,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3180,294.15691596755755,293.30924732700316,293.96778359428004,293.96778359428004,293.3092473270031,294.1569159675575,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3240,294.1566252931848,293.2946573158932,293.96329758520244,293.9632975852025,293.29465731589323,294.1566252931848,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3300,294.15633435543884,293.2813100316162,293.95881502447503,293.9588150244751,293.2813100316162,294.15633435543884,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3360,294.15604317745465,293.26907132399316,293.9543361885041,293.9543361885041,293.2690713239931,294.15604317745465,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3420,294.1557517798718,293.257821572492,293.9498613228838,293.94986132288386,293.257821572492,294.1557517798718,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3480,294.1554601810989,293.24745411247335,293.94539064573166,293.94539064573166,293.24745411247335,294.15546018109893,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3540,294.15516839754997,293.23787389531986,293.9409243510797,293.9409243510797,293.23787389531986,294.15516839754997,290.5745580566329,294.7786353380397,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
