causality,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.
480,294.1607725541735,294.38674131220705,294.1296689148326,294.1296689148326,294.3867413122071,294.16077255417343,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
540,294.16087256102696,294.41355862470795,294.126821467079,294.12682146707897,294.413558624708,294.160872561027,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
600,294.16097306076375,294.43726335286095,294.1239843834642,294.12398438346423,294.4372633528609,294.16097306076375,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
660,294.16107399546144,294.4581929115672,294.12115694307744,294.12115694307744,294.4581929115672,294.16107399546144,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
720,294.1611753134762,294.47664816880746,294.1183385025489,294.11833850254897,294.47664816880746,294.1611753134762,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
780,294.16127696876396,294.49289740415946,294.1155284876553,294.11552848765535,294.49289740415946,294.1612769687639,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
840,294.16137892027257,294.50717983855935,294.11272638583023,294.11272638583023,294.50717983855935,294.1613789202725,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
900,294.16148113140304,294.519708781741,294.1099317394843,294.10993173948424,294.519708781741,294.16148113140304,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
960,294.16158356952826,294.5306744387682,294.10714414005275,294.10714414005275,294.53067443876824,294.1615835695282,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1020,294.16168620555595,294.54024641257627,294.1043632226882,294.10436322268816,294.54024641257627,294.16168620555595,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1080,294.1617890135549,294.54857593546217,294.1015886615232,294.1015886615231,294.5485759354622,294.1617890135549,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1140,294.1618919704061,294.5557978588682,294.0988201654478,294.09882016544776,294.5557978588682,294.16189197040603,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1200,294.16199505550026,294.5620324276488,294.09605747435234,294.09605747435234,294.5620324276487,294.1619950555002,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1260,294.1620982504663,294.56738686215857,294.09330035576164,294.09330035576164,294.56738686215857,294.1620982504663,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1320,294.16220153892954,294.5719567689859,294.0905486018497,294.0905486018498,294.57195676898596,294.16220153892954,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1380,294.1623049062933,294.5758273988707,294.0878020267645,294.0878020267645,294.5758273988707,294.1623049062933,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1440,294.16240833956186,294.579074617904,294.0850604655744,294.0850604655744,294.57907461790404,294.16240833956186,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1500,294.162511827143,294.58176614603906,294.0823237704615,294.08232377046147,294.581766146039,294.1625118271431,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1560,294.162615358646,294.58396305643544,294.07959180222997,294.07959180222997,294.58396305643544,294.16261535864595,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1620,294.16271892490516,294.5857187992866,294.07686444552195,294.0768644455219,294.5857187992866,294.16271892490516,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1680,294.1628225177209,294.58708131035695,294.0741415950112,294.07414159501116,294.587081310357,294.1628225177209,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1740,294.16292612977855,294.5880933456499,294.0714231566912,294.07142315669114,294.5880933456499,294.1629261297786,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1800,294.1630297545432,294.5887935228287,294.0687090393837,294.0687090393837,294.5887935228287,294.1630297545432,291.84541782745623,294.86219769069953,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1860,294.1631333862192,294.58921586912027,294.06599916597077,294.0659991659707,294.5892158691203,294.16313338621916,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1920,294.16286635542207,294.44355390589993,294.061655318904,294.06165531890395,294.4435539059,294.162866355422,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1980,294.16259662175975,294.3133213790053,294.05728500543955,294.0572850054396,294.3133213790053,294.1625966217597,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2040,294.1623244723935,294.19684754161915,294.0528917617145,294.0528917617145,294.1968475416191,294.16232447239344,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2100,294.1620501633884,294.0926426105098,294.04847873995124,294.04847873995124,294.0926426105098,294.1620501633884,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2160,294.16177392308606,293.9993781652571,294.044048750043,294.044048750043,293.99937816525704,294.16177392308606,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2220,294.16149595510245,293.9158696705044,294.03960429663607,294.039604296636,293.9158696705044,294.1614959551025,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2280,294.1612164410101,293.8410608912808,294.0351476121903,294.0351476121903,293.8410608912808,294.16121644101,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2340,294.1609355427225,293.7740099963578,294.0306806864632,294.0306806864632,293.7740099963578,294.16093554272254,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2400,294.16065340462774,293.71387716679396,294.02620529279943,294.02620529279943,293.71387716679396,294.1606534046278,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2460,294.1603701554821,293.6599135466426,294.0217230115709,294.0217230115708,293.6599135466426,294.1603701554821,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2520,294.16008591010655,293.6114513904429,294.0172352510828,294.0172352510828,293.61145139044294,294.16008591010655,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2580,294.1598007708937,293.56789527787095,294.0127432662063,294.01274326620626,293.56789527787095,294.1598007708937,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2640,294.1595148291549,293.52871427996286,294.00824817500506,294.00824817500506,293.52871427996286,294.1595148291549,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2700,294.1592281663215,293.4934349738351,294.00375097355,294.00375097355,293.4934349738351,294.1592281663215,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2760,294.1589408550135,293.4616352140139,293.999252549134,293.9992525491341,293.4616352140138,294.1589408550135,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2820,294.15865295999413,293.43293857840223,293.9947536920599,293.9947536920599,293.43293857840223,294.1586529599941,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2880,294.1583645390203,293.4070094158318,293.9902551061412,293.9902551061412,293.4070094158318,294.1583645390203,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
2940,294.1580756436047,293.3835484300237,293.98575741807497,293.98575741807497,293.38354843002367,294.1580756436047,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3000,294.1577863196883,293.3622887418699,293.98126118579484,293.9812611857948,293.36228874187,294.15778631968834,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3060,294.1574966082457,293.3429923782211,293.9767669059182,293.9767669059183,293.3429923782211,294.1574966082457,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3120,294.15720654582213,293.32544714098657,293.9722750203919,293.972275020392,293.32544714098657,294.1572065458221,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3180,294.15691616501283,293.3094638153496,293.9677859224132,293.96778592241316,293.3094638153496,294.15691616501283,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3240,294.1566254948942,293.2948736803758,293.96329996171227,293.96329996171227,293.2948736803759,294.15662549489423,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3300,294.1563345614002,293.2815262892486,293.9588174492602,293.9588174492602,293.28152628924863,294.1563345614002,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3360,294.156043387666,293.2692874899429,293.95433866146817,293.95433866146817,293.2692874899428,294.156043387666,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3420,294.15575199432857,293.258037660277,293.9498638439319,293.9498638439319,293.25803766027707,294.15575199432857,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3480,294.1554603998023,293.2476701341436,293.94539321477436,293.94539321477436,293.2476701341436,294.1554603998023,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
3540,294.1551686205126,293.238089798189,293.94092696761686,293.94092696761686,293.238089798189,294.15516862051254,290.5745580566329,294.7796139193639,0.1,0.025,0.0,280.25,0.0,294.55,301.15,290.15,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
