Time,radCon.Q_flow,sou.T_in,radCon.vol[1].T,radCon.vol[5].T
0,-5000,328.15,325.86932,318.15
21.6,-5000,328.15,325.86932,318.15
43.2,-5000,328.15,325.86932,318.15
64.8,-5000,328.15,325.86932,318.15
86.4,-5000,328.15,325.86932,318.15
108,-5000,328.15,325.86932,318.15
129.6,-5000,328.15,325.86932,318.15
151.2,-5000,328.15,325.86932,318.15
172.8,-5000,328.15,325.86932,318.15
194.4,-5000,328.15,325.86932,318.15
216,-5000,328.15,325.86932,318.15
237.6,-5000,328.15,325.86932,318.15
259.2,-5000,328.15,325.86932,318.15
280.8,-5000,328.15,325.86932,318.15
302.4,-5000,328.15,325.86932,318.15
324,-5000,328.15,325.86932,318.15
345.6,-5000,328.15,325.86932,318.15
367.2,-5000,328.15,325.86932,318.15
388.8,-5000,328.15,325.86932,318.15
410.4,-5000,328.15,325.86932,318.15
432,-5000,328.15,325.86932,318.15
453.6,-5000,328.15,325.86932,318.15
475.2,-5000,328.15,325.86932,318.15
496.8,-5000,328.15,325.86932,318.15
518.4,-5000,328.15,325.86932,318.15
540,-5000,328.15,325.86932,318.15
561.6,-5000,328.15,325.86932,318.15
583.2,-5000,328.15,325.86932,318.15
604.8,-5000,328.15,325.86932,318.15
626.4,-5000,328.15,325.86932,318.15
648,-5000,328.15,325.86932,318.15
669.6,-5000,328.15,325.86932,318.15
691.2,-5000,328.15,325.86932,318.15
712.8,-5000,328.15,325.86932,318.15
734.4,-5000,328.15,325.86932,318.15
756,-5000,328.15,325.86932,318.15
777.6,-5000,328.15,325.86932,318.15
799.2,-5000,328.15,325.86932,318.15
820.8,-5000,328.15,325.86932,318.15
842.4,-5000,328.15,325.86932,318.15
864,-5000,328.15,325.86932,318.15
885.6,-5000,328.15,325.86932,318.15
907.2,-5000,328.15,325.86932,318.15
928.8,-5000,328.15,325.86932,318.15
950.4,-5000,328.15,325.86932,318.15
972,-5000,328.15,325.86932,318.15
993.6,-5000,328.15,325.86932,318.15
1015.2,-5000,328.15,325.86932,318.15
1036.8,-5000,328.15,325.86932,318.15
1058.4,-5000,328.15,325.86932,318.15
1080,-5000,328.15,325.86932,318.15
1101.6,-5000,328.15,325.86932,318.15
1123.2,-5000,328.15,325.86932,318.15
1144.8,-5000,328.15,325.86932,318.15
1166.4,-5000,328.15,325.86932,318.15
1188,-5000,328.15,325.86932,318.15
1209.6,-5000,328.15,325.86932,318.15
1231.2,-5000,328.15,325.86932,318.15
1252.8,-5000,328.15,325.86932,318.15
1274.4,-5000,328.15,325.86932,318.15
1296,-5000,328.15,325.86932,318.15
1317.6,-5000,328.15,325.86932,318.15
1339.2,-5000,328.15,325.86932,318.15
1360.8,-5000,328.15,325.86932,318.15
1382.4,-5000,328.15,325.86932,318.15
1404,-5000,328.15,325.86932,318.15
1425.6,-5000,328.15,325.86932,318.15
1447.2,-5000,328.15,325.86932,318.15
1468.8,-5000,328.15,325.86932,318.15
1490.4,-5000,328.15,325.86932,318.15
1512,-5000,328.15,325.86932,318.15
1533.6,-5000,328.15,325.86932,318.15
1555.2,-5000,328.15,325.86932,318.15
1576.8,-5000,328.15,325.86932,318.15
1598.4,-5000,328.15,325.86932,318.15
1620,-5000,328.15,325.86932,318.15
1641.6,-5000,328.15,325.86932,318.15
1663.2,-5000,328.15,325.86932,318.15
